"Algolia Search Products", "Algolia Zoek Producten"
"Rebuild products.", "Rebuild producten."
"Algolia Search Categories", "Algolia Zoek Categorieën"
"Rebuild categories.", "Rebuild categorieën."
"Algolia Search Pages", "Algolia Zoek Pagina's"
"Rebuild pages.", "Rebuild pagina's."
"Algolia Search Suggestions", "Algolia Zoek Suggesties"
"Rebuild suggestions.", "Rebuild suggesties."
"Rebuild additional sections.", "Rebuild additionele secties."
"Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration", "Schakel het queue systeem in om het asynchroon (CRON) te doen wanneer je veel producten hebt in Systeem > Configuratie > Algolia Zoeken > Queue configuratie"
"Algolia Search Queue Runner", "Algolia Zoek Queue Runner"
"Process the queue if enabled. This allow to run jobs in the queue", "Gaat alle queue processen af wanneer ingeschakeld."
"Section", "Sectie"
"Label", "Label"
"Hits per page", "Resultaten per pagina"
"Add Section", "Add Sectie"
"Attribute", "Attribuut"
"Searchable", "Doorzoekbaar"
"Retrievable", "Op te halen"
"Ordered", "Gerangschikt"
"Add Attribute", "Attribuut toevoegen"
"Asc / Desc", "Op- / aflopend"
"Add Ranking Criterion", "Ranking criterium toevoegen"
"Facet type", "Facet type"
"Add Facet", "Facet toevoegen"
"Sort", "Sorteren"
"Add Sorting Attribute", "Sortering attribuut toevoegen"
"Pages", "Pagina's"
"Add Excluded Page", "Uitgeslote pagina's toevoegen"
"Search by", "Zoeken op"
"Search for products, categories, ...", "Zoek naar producten, categorieën, ..."
"Search:", "Zoeken:"
"in", "in"
"Categories", "Categorieën"
"Products", "Producten"
"Refine", "Verfijnen"
"Current search", "Huidige zoekopdracht"
"Search for products", "Zoek naar producten"
"SORT BY", "Sorteren op"
"Add to Cart", "Toevoegen aan winkelwagen"
"result found", "resultaat gevonden"
"results found", "resultaten gevonden"
"out of", "van de"
"seconds", "seconden"
"Relevance", "Relevantie"
"No products for query", "Geen producten voor zoekopdracht"
"You can try one of the popular search queries", "Probeer een van de populaire zoektermen"
"or", "of"
"See all products", "Bekijk alle producten"
"Selected Filters", "Geselecteerde filters"
"Clear all", "Wis alles"
"Previous page", "Vorige pagina"
"Next page", "Volgende pagina"
"to", "naar"
"Go", "Gaan"
"No results", "Geen resultaten"
"All departments", "Alle afdelingen"
"See products in", "Toon producten in"
"or in", "of in"
"Base Image", "Standaard afbeelding"
"Small Image", "Kleine afbeelding"
"Thumbnail", "Miniatuur"
"None", "Geen"
"AllOptional", "Alle optioneel"
"LastWords", "Laatste woorden"
"FirstWords", "Eerste woorden"
"Synonyms (comma-separated)", "Synoniemen (komma gescheiden)"
"Add Synonyms", "Synoniem toevoegen"
"Add One-way Synonyms", "One-way synoniem toevoegen"
"Input", "Invoer"
"Synonyms", "Synoniemen"
"One-way Synonyms", "One-way synoniemen"
"Synonyms File", "Synoniemen bestand"